Model                          B    AUC            Adv     TTFT(s)    TPS    Coverage
--------------------------------------------------------------------------------------------
Phi-4-14B                       0  0.551 [0.45,0.67]  0.040   0.239    31.1   100.0
                               10  0.629 [0.52,0.74]  0.000   0.245    45.0   100.0
                               25  0.640 [0.53,0.75]  0.038   0.183    21.6   100.0
                               50  0.657 [0.55,0.76]  0.040   0.229    38.3   100.0
                               75  0.536 [0.42,0.65]  0.020   0.178     8.4   100.0
                              100  0.597 [0.48,0.71]  0.020   0.293    46.1   100.0
                              150  0.478 [0.36,0.60]  0.020   0.194    26.0   100.0

Qwen3-30B-A3B                   0  0.527 [0.41,0.63]  0.020   0.816    37.0   100.0
                               10  0.789 [0.69,0.88]  0.020   0.375    47.7   100.0
                               25  0.586 [0.47,0.69]  0.000   1.256    49.9   100.0
                               50  0.740 [0.64,0.84]  0.000   1.930    45.0   100.0
                               75  0.619 [0.51,0.73]  0.000   1.713    51.4   100.0
                              100  0.726 [0.61,0.82]  0.020   1.066    46.8   100.0
                              150  0.542 [0.43,0.66]  0.000   1.696    52.7   100.0

Qwen3-32B                       0  0.527 [0.41,0.63]  0.020   0.477    38.8   100.0
                               10  0.612 [0.50,0.73]  0.020   0.487    42.0   100.0
                               25  0.458 [0.35,0.58]  0.040   0.651    46.0   100.0
                               50  0.918 [0.86,0.97]  0.060   0.481    39.2   100.0
                               75  0.455 [0.34,0.57]  0.020   0.481    46.5   100.0
                              100  0.697 [0.59,0.80]  0.280   0.601    41.8   100.0
                              150  0.505 [0.39,0.62]  0.020   0.524    45.4   100.0

DeepSeek-R1-Distill-Qwen-32B    0  0.500 [0.39,0.61]  0.000   0.370    44.6   100.0
                               10  0.577 [0.46,0.69]  0.000   0.368    45.5   100.0
                               25  0.533 [0.42,0.65]  0.000   0.625    40.4   100.0
                               50  0.511 [0.40,0.63]  0.000   0.363    48.0   100.0
                               75  0.426 [0.32,0.54]  0.020   0.478    47.5   100.0
                              100  0.395 [0.28,0.51]  0.000   0.431    45.9   100.0
                              150  0.512 [0.40,0.63]  0.020   0.512    44.7   100.0

Llama-3.3-70B-AWQ               0  0.442 [0.33,0.56]  0.040   3.530    13.7    80.0
                               10  0.485 [0.37,0.60]  0.040   1.130    26.6   100.0
                               25  0.560 [0.45,0.68]  0.020   1.820    25.4   100.0
                               50  0.545 [0.43,0.66]  0.020   1.162    26.4   100.0
                               75  0.500 [0.39,0.62]  0.000   1.335    26.5   100.0
                              100  0.493 [0.38,0.61]  0.020   1.133    24.5   100.0
                              150  0.571 [0.46,0.68]  0.020   1.486    26.3   100.0

CSV  /workspace/ndss_scripts/results/combined_b_table/combined_b_table.csv
JSON /workspace/ndss_scripts/results/combined_b_table/combined_b_table.json
